,0a) Mitglied im DVE,1a) Alter,1b) Berufserfahrung,1c) Geschlecht,1d) Arbeitsort,1e) Höchster Berufsabschluss,2a) Status Hauptarbeitsverhältnis,2b) Grund für Teilzeit- oder geringfügige Beschäftigung,2c) Beschäftigung in einer Zeitarbeitsfirma/ als Leiharbeitnehmer:in,"4a) Leitungsfunktion, mit Personalverantwortung",4b) Verantwortung für,4c) Umfang der Leitungstätigkeit durch Arbeitgeber,5a) Arbeitgeber/ Einrichtungsart,5b) Fachlicher Schwerpunkt,6a) Meine vertraglich festgelegte Wochenarbeitszeit beträgt,6b) Ich arbeite auch am...,6c) Wenn Sie Sonn- und Feiertagsdienste machen – gibt es Zuschläge bei der Vergütung?,7a) Wie erfolgt der Ausgleich von Überstunden?,7b) Leisten Sie regelmäßig Überstunden?,8a) Ich habe in den letzten 12 Monaten mindestens eine externe berufsbezogene Fortbildung wahrgenommen (inkl. Onlineangeboten),8b) Freistellung,8c) Kostenübernahme durch den Arbeitgeber,8d) regelmäßige Teilnahme an externer/ extern begleiteter Supervision (vom Arbeitgeber finanziert),9a) Gehaltsform,9b) Tarif,9c) Höhe des monatlichen Gesamtbruttogehalts* (beim Hauptarbeitgeber),10a) Risiko des Therapieausfalles,11a) Die Dauer einer Therapieeinheit orientiert sich an,"11b) Wieviel Zeit Ihrer Arbeitszeit (Angaben in %) steht Ihnen für Aufgaben wie Teambesprechungen, Dokumentation, Fahrzeit zu Hausbesuchen, Telefonate, Aufräumarbeiten, Vor-/Nachbereitung der Therapie, Praktikumsanleitung, etc. in etwa zur Verfügung?",12a) Nicht als Arbeitszeit gerechnete und nicht vergütete Arbeitsleistungen am Arbeitsplatz,12b) Der Umfang dieser nicht vergüteten Leistungen beträgt etwa (in Wochenstunden),13a) Ich arbeite zusätzlich zu meinem Hauptarbeitsverhältnis,13b) Intention der Nebentätigkeit,14a) An meiner Arbeitsstelle gibt es eine Interessensvertretung,14b) Ich bin Mitglied in einer Gewerkschaft,"15a) größere strukturelle Veränderungen, wie beispielsweise Eigentümerwechsel, Konzernbildung, usw.",15b 2)Stehen die angegebenen „wesentlichen Veränderungen“ überwiegend im Zusammenhang mit der Corona-Pandemie?,15b) Wesentliche Verschlechterungen der Arbeitsbedingungen in den letzten 2 Jahren,15c 2)Stehen die angegebene „wesentlichen Verbesserungen“ überwiegend im Zusammenhang mit der Corona-Pandemie?,15c) Wesentliche Verbesserungen der Arbeitsbedingungen in den letzten 2 Jahren,18a) Welche Serviceleistungen des DVE für Angestellte sind Ihnen bekannt?,18b) Welche Serviceleistungen des DVE für Angestellte haben Sie im letzten Jahren genutzt?,Anzahl aller wahrgenommen Fortbildungstage in den letzten 12 Monaten,Anzahl der Freistellungstage,Befristetes Arbeitsverhältnis,Minuten bei Einzeltherapie,Minuten bei Gruppentherapie,Wie beurteilen Sie das Betriebsklima in Ihrer Einrichtung insgesamt? Bewerten Sie auf einer Skala von 1 (nahezu unerträglich) bis 10 (könnte nicht besser sein).,Wie beurteilen Sie die Zusammenarbeit mit Vorgesetzen? Bewerten Sie auf einer Skala von 1 (äußerst schlecht) bis 10 (könnte nicht besser sein).,Wie beurteilen Sie die Zusammenarbeit mit den Kolleg:innen? Bewerten Sie auf einer Skala von 1 (äußerst schlecht) bis 10 (könnte nicht besser sein).,Wie zufrieden sind Sie insgesamt mit Ihrer aktuellen Arbeitssituation? Bewerten Sie auf einer Skala von 1 (sehr unzufrieden) bis 10 (sehr zufrieden).,Wie zufrieden sind Sie mit diesen Leistungen gewesen? Bewerten Sie auf einer Skala von 1 (sehr unzufrieden) bis 10 (sehr zufrieden).,"nicht vertraglich festgelegt (flexibel nach Bedarf), ca.: 1-40 Wochenstunden",vertraglich festgelegt (1-40) Wochenstunden
0,nein,40 - 49 Jahre,über 20 Jahre,weiblich,Bayern,Berufsfachschule,Teilzeit (weniger als 35/ Woche),dies ist aus familiären/persönlichen Gründen (z.B. Studium) von mir gewünscht,nein,trifft für mich nicht zu,,,Praxis/ Therapiezentrum (Kassenzulassung),"[' Geriatrie', ' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie', ' Pädiatrie']",25,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,nein,,,nein,Festgehalt,"nein, frei verhandelt","2750,-  –  2999,- €",Risiko trägt die/der Arbeitnehmer,der Heilmittel-Richtlinie,2,"[' Aufräum-/Reinigungsarbeiten', ' Dokumentation/Berichte schreiben', ' Praktikumsanleitung', ' Telefonate/Gespräche mit Angehörigen/anderen Fachpersonen etc.']",ja,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' Arbeitsverdichtung (mehr Pat. in der gleichen Arbeitszeit)'],nein,"[' die Bedingungen in meinem Arbeitsvertrag haben sich verbessert (Arbeitszeitverkürzung, mehr Urlaubstage, …)']",[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],nein,nein,nein,nein,nein,7,5,8,5,7,nein,nein
1,ja,20 - 29 Jahre,3 - 6 Jahre,weiblich,Hessen,Bachelor / Diplom,Teilzeit (weniger als 35/ Woche),dies ist aus familiären/persönlichen Gründen (z.B. Studium) von mir gewünscht,nein,trifft für mich nicht zu,,,Praxis/ Therapiezentrum (Kassenzulassung),"[' Neurologie', ' Pädiatrie']",25,[' trifft nicht zu'],,kein Ausgleich,ja,ja,ja,nein,nein,Festgehalt,"nein, frei verhandelt","2000,-  –  2249,- €",Risiko trägt die/der Arbeitgeber,der Heilmittel-Richtlinie,5 %,"[' Aufräum-/Reinigungsarbeiten', ' Telefonate/Gespräche mit Angehörigen/anderen Fachpersonen etc.', ' Vor- und Nachbereiten der Therapie']",5.0,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' trifft für mich nicht zu / keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' Newsletter des Fachausschuss für Angestellte', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 16:30-18:30 Uhr)']","[' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage']",ja,ja,nein,nein,nein,8,7,10,8,7,nein,nein
2,ja,40 - 49 Jahre,7 - 10 Jahre,männlich,Baden-Württemberg,Berufsfachschule,Teilzeit (weniger als 35/ Woche),dies ist aus familiären/persönlichen Gründen (z.B. Studium) von mir gewünscht,nein,Fachliche Leitung (Praxis),1 - 5 Mitarbeiter,in zur Verfügung gestellte,"Beratungsstelle (z. B. Pflegestützpunkt, sozialpsychiatrischer Träger)","[' Arbeitstherapie', ' Psychiatrie/Sucht/Forensik']",30,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,ja,ja,ja,ja,Festgehalt,angelehnt an einen Tarif (d.h. keine feste Tarifbindung),"2750,-  –  2999,- €",Risiko trägt die/der Arbeitgeber,der Heilmittel-Richtlinie,10 %,,nein,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' Arbeitsverdichtung (mehr Pat. in der gleichen Arbeitszeit)'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage']","[' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage']",2.0,3.0,nein,nein,nein,8,7,8,6,8,nein,nein
3,ja,40 - 49 Jahre,11 - 20 Jahre,weiblich,Schleswig-Holstein,Bachelor / Diplom,Teilzeit (weniger als 35/ Woche),dies ist aus familiären/persönlichen Gründen (z.B. Studium) von mir gewünscht,nein,trifft für mich nicht zu,,,Schule für Ergotherapie/ Hochschule,"[' Prävention und Gesundheitsförderung', ' Sonstiger']",20,[' trifft nicht zu'],,Ausgleich über Freizeit,nein,nein,,,nein,Festgehalt,"nein, frei verhandelt","1750,-  –  1999,- €",trifft für mich nicht zu,trifft für mich nicht zu (z.B. als Lehrende/r),trifft für mich nicht zu (z.B. als Lehrende/r),,nein,fachfremd,nein,nein,nein,ja,nein,,nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Broschüre Arbeitsrecht', ' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' Newsletter des Fachausschuss für Angestellte', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage']",[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage'],nein,nein,nein,nein,nein,7,8,9,6,8,nein,nein
4,ja,20 - 29 Jahre,3 - 6 Jahre,weiblich,Schleswig-Holstein,Bachelor / Diplom,Teilzeit (weniger als 35/ Woche),ich keine Vollzeitstelle bekommen habe,nein,trifft für mich nicht zu,,,Schule für Ergotherapie/ Hochschule,"[' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie']",20,[' trifft nicht zu'],,nicht geregelt,nein,nein,,,nein,Festgehalt,Haustarifvertrag,"1500,-  –  1749,- €",trifft für mich nicht zu,trifft für mich nicht zu (z.B. als Lehrende/r),trifft für mich nicht zu (z.B. als Lehrende/r),,nein,"trifft für mich nicht zu, keine Nebentätigkeit",,Betriebsrat,nein,nein,nein,[' trifft für mich nicht zu / keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Broschüre Stellenbeschreibung', ' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 16:30-18:30 Uhr)']",[' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 18:00-20:00 Uhr)'],nein,nein,ja,nein,nein,8,8,9,6,10,nein,nein
5,ja,40 - 49 Jahre,über 20 Jahre,weiblich,Baden-Württemberg,Berufsfachschule,Teilzeit (weniger als 35/ Woche),dies ist aus familiären/persönlichen Gründen (z.B. Studium) von mir gewünscht,nein,trifft für mich nicht zu,,,Praxis/ Therapiezentrum (Kassenzulassung),"[' Geriatrie', ' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie', ' Pädiatrie']",25,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,ja,nein,ja,nein,Festgehalt,angelehnt an einen Tarif (d.h. keine feste Tarifbindung),"1750,-  –  1999,- €",Risiko trägt die/der Arbeitgeber,der Heilmittel-Richtlinie,5 %,,nein,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,"[' anderes Patientenklientel', ' weniger Unterstützung für Fortbildung (finanziell, dienstfrei)']",nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Broschüre Arbeitsrecht', ' Broschüre Stellenbeschreibung', ' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' Newsletter des Fachausschuss für Angestellte', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 16:30-18:30 Uhr)']","[' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage']",7.0,nein,nein,nein,nein,8,8,7,4,6,nein,nein
6,nein,20 - 29 Jahre,3 - 6 Jahre,weiblich,Bayern,Berufsfachschule,Vollzeit (ab 35h/ Woche),,nein,trifft für mich nicht zu,,,Praxis/ Therapiezentrum (Kassenzulassung),"[' Geriatrie', ' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie', ' Pädiatrie']",40,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,ja,nein,nein,nein,Festgehalt,"nein, frei verhandelt","3250,-  –  3499,- €",Risiko trägt die/der Arbeitgeber,der Heilmittel-Richtlinie,1,"[' Dokumentation/Berichte schreiben', ' Telefonate/Gespräche mit Angehörigen/anderen Fachpersonen etc.', ' Vor- und Nachbereiten der Therapie']",2.0,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,"[' Arbeitsverdichtung (mehr Pat. in der gleichen Arbeitszeit)', ' anderes Patientenklientel', ' weniger Unterstützung für Fortbildung (finanziell, dienstfrei)']",nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Newsletter des Fachausschuss für Angestellte', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage']",[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],18.0,nein,nein,nein,nein,3,4,5,ja,6,nein,nein
7,nein,20 - 29 Jahre,3 - 6 Jahre,weiblich,Baden-Württemberg,Berufsfachschule,Teilzeit (weniger als 35/ Woche),aus gesundheitlichen Gründen,nein,trifft für mich nicht zu,,,Reha-Klinik,"[' Geriatrie', ' Kardiologie / Innere Medizin', ' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie']",30,"[' samstags', ' trifft nicht zu']",,wahlweise Freizeit/Bezahlung,ja,nein,,,nein,Festgehalt,AVR/KODA/ZKO (kirchlicher Träger),"1750,-  –  1999,- €",Risiko trägt die/der Arbeitgeber,nach folgenden internen Vorgaben/ Regelungen (bitte Minutenanzahl eingeben),5 %,,nein,"trifft für mich nicht zu, keine Nebentätigkeit",,Mitarbeitervertretung,nein,nein,nein,"[' Arbeitsverdichtung (mehr Pat. in der gleichen Arbeitszeit)', ' anderes Patientenklientel', ' berufsfremde Tätigkeiten (z.B. Pflegetätigkeiten)', ' weniger Unterstützung für Fortbildung (finanziell, dienstfrei)']",nein,[' trifft für mich nicht zu / keine Veränderungen'],[' Newsletter des Fachausschuss für Angestellte'],[' Newsletter des Fachausschuss für Angestellte'],nein,nein,nein,30.0,60.0,6,4,9,2,7,nein,nein
8,nein,30 - 39 Jahre,3 - 6 Jahre,männlich,Sachsen-Anhalt,Berufsfachschule,Vollzeit (ab 35h/ Woche),,nein,Fachliche Leitung (Praxis),1 - 5 Mitarbeiter,in zur Verfügung gestellte,Praxis/ Therapiezentrum (Kassenzulassung),"[' Geriatrie', ' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie', ' Pädiatrie', ' Psychiatrie/Sucht/Forensik']",35,[' trifft nicht zu'],,nicht geregelt,ja,ja,nein,teilweise,nein,Festgehalt,"nein, frei verhandelt","2000,-  –  2249,- €",Risiko trägt die/der Arbeitgeber,der Heilmittel-Richtlinie,5 %,,nein,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,"[' Arbeitsverdichtung (mehr Pat. in der gleichen Arbeitszeit)', ' anderes Patientenklientel']",nein,[' trifft für mich nicht zu / keine Veränderungen'],[' Newsletter des Fachausschuss für Angestellte'],[' Newsletter des Fachausschuss für Angestellte'],ja,nein,nein,nein,nein,8,7,8,5,7,nein,nein
9,nein,60 plus Jahre,über 20 Jahre,weiblich,Berlin,Berufsfachschule,Teilzeit (weniger als 35/ Woche),dies ist aus familiären/persönlichen Gründen (z.B. Studium) von mir gewünscht,nein,trifft für mich nicht zu,,,Praxis/ Therapiezentrum (Kassenzulassung),[' Pädiatrie'],25,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,ja,ja,ja,ja,Festgehalt,"nein, frei verhandelt","2000,-  –  2249,- €",Risiko trägt die/der Arbeitnehmer,der Heilmittel-Richtlinie,20 %,"[' Aufräum-/Reinigungsarbeiten', ' Dokumentation/Berichte schreiben', ' Praktikumsanleitung']",3.0,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' trifft für mich nicht zu / keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage']",[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage'],2.0,2.0,nein,nein,nein,6,4,10,7,6,nein,nein
